0,0,0,2.978261,0,0,0,0,0,4.855016,0,0,0,0,0,0,0,0,1.359321,0,0
0,0,2.736328,0,0,0,0,0,0,0,0,0,5.144254,0,0,0,0,0,0,0,0
4.816628,0,0,2.963003,0,0,0,0,0,0,0,0,0,0,0,7.885288,0,4.997205,0,3.049284,0
0,0,0,0,0,0,0,0,4.019883,0,0,0,0,0,0,0,0,0,0,0,0
2.959895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.100598,0,0,0
0,-4.224999,0,-1.72328,0,0,5.203335,0,0,0,0,5.062822,0,0,3.482304,0,1.967153,0,0,0,0
0,0,0,5.278774,0,4.272938,0,0,0,10.03955,0,0,0,0,7.619616,0,0,0,2.361073,0,0
0,0,10.008,4.029253,0,0,-3.031148,0,0,0,0,0,0,0,0,0,5.117825,0,4.082614,2.697194,0
0,-0.1176485,0,0,0,0,4.260014,0,3.451413,0,3.64889,-2.882945,0,0,0,0,4.407034,5.197623,0,0,0
2.723813,2.575581,0,0,0,0,4.920999,2.752257,0,0,0,5.082276,0,0,0,-1.778152,2.730445,2.133337,2.233975,0,0
0,5.182193,4.155743,0,4.913373,3.01571,2.079602,0,0,0,0,4.195307,0,0,7.79161,0,0,0,0,1.425353,0
0,11.22971,0,0,-3.201141,0,2.655335,0,5.214913,0,0,0,4.754499,0,0,0,0,0,0,1.673426,0

